Equipo,Jugador,Posición,Edad,Nacionalidad,Cotización (USD)
ARGENTINOS JUNIORS,"Acosta, Miguel",Arquero,22,Argentina,"30,000"
ARGENTINOS JUNIORS,"Rodríguez, Diego",Arquero,35,Argentina,"460,000"
ARGENTINOS JUNIORS,"Siri Payer, Gonzalo",Arquero,21,Argentina,"300,000"
ARGENTINOS JUNIORS,"Álvarez, Francisco",Defensor central,24,Argentina,"2,500,000"
ARGENTINOS JUNIORS,"Coronel, Kevin",Lateral derecho,20,Argentina,"300,000"
ARGENTINOS JUNIORS,"Galván, Jonatan",Defensor central,32,Argentina,"400,000"
ARGENTINOS JUNIORS,"Godoy, Erik",Defensor central,31,Argentina,"2,600,000"
ARGENTINOS JUNIORS,"Guillén, Manuel",Lateral derecho,23,Argentina,"500,000"
ARGENTINOS JUNIORS,"Meza, Fernando",Defensor central,34,Argentina,"200,000"
ARGENTINOS JUNIORS,"Palacio, Tobías",Defensor central,17,Argentina,"4,500,000"
ARGENTINOS JUNIORS,"Prieto, Sebastián",Lateral izquierdo,31,Argentina,"550,000"
ARGENTINOS JUNIORS,"Sánchez, Luciano",Lateral derecho,30,Argentina,"225,000"
ARGENTINOS JUNIORS,"Santamaría, Thiago",Lateral derecho,21,Argentina,"1,500,000"
ARGENTINOS JUNIORS,"Vega, Román",Lateral izquierdo,20,Argentina,"3,000,000"
ARGENTINOS JUNIORS,"Cardozo, Juan",Volante,20,Paraguay,"300,000"
ARGENTINOS JUNIORS,"Ferreira, Cristian",Volante,25,Argentina,"1,500,000"
ARGENTINOS JUNIORS,"Gamarra, Ariel",Pivote,21,Paraguay,"900,000"
ARGENTINOS JUNIORS,"Gómez, Lucas",Pivote,20,Argentina,"300,000"
ARGENTINOS JUNIORS,"Heredia, Leonardo",Mediocampista ofensivo,28,Argentina,"1,000,000"
ARGENTINOS JUNIORS,"Herrera, José María",Wing derecho,21,Argentina,"1,000,000"
ARGENTINOS JUNIORS,"Lescano, Alan",Mediocampista ofensivo,21,Argentina,"5,000,000"
ARGENTINOS JUNIORS,"Mac Allister, Francis",Pivote,28,Argentina,"1,300,000"
ARGENTINOS JUNIORS,"Oroz, Nicolás",Mediocampista ofensivo,30,Argentina,"1,000,000"
ARGENTINOS JUNIORS,"Rodríguez, Alan",Volante,24,Uruguay,"1,500,000"
ARGENTINOS JUNIORS,"Viveros, Emiliano",Wing izquierdo,22,Argentina,"500,000"
ARGENTINOS JUNIORS,"Ardaiz, Joaquín",Delantero centro,25,Uruguay,"500,000"
ARGENTINOS JUNIORS,"Báez, Facundo",Delantero centro,20,Argentina,"100,000"
ARGENTINOS JUNIORS,"Díaz Chaves, Mateo",Delantero centro,21,Argentina,"100,000"
ARGENTINOS JUNIORS,"Cordero, Nicolás",Delantero centro,25,Argentina,"1,250,000"
ARGENTINOS JUNIORS,"Molina, Tomás",Delantero centro,29,Argentina,"1,250,000"
ARGENTINOS JUNIORS,"Perelló, Matías",Wing derecho,22,Argentina,"100,000"
